상호,시도,시군구,소재지,전산보고여부
중앙로주유소,전북특별자치도,군산시,전북특별자치도 군산시 중앙로188 (중앙로1가) ,Y
중앙알뜰주유소,충청북도,충주시,충청북도 충주시 청금로288 (중앙탑면) ,Y
중앙주유소,전라남도,목포시,전라남도 목포시 산정로48 (산정동) ,Y
중원농협주유소,충청북도,충주시,충청북도 충주시 충원대로1317 (동량면) ,Y
중원대로주유소,충청북도,충주시, 충청북도 충주시 중원대로3208,Y
중원에너지셀프주유소,경기도,성남시,경기도 성남시 중원구 산성대로336 (중앙동) ,Y
중인주유소,전북특별자치도,전주시,전북특별자치도 전주시 완산구 우림로1008 (중인동) ,Y
중화농협 화북지점주유소,경상북도,상주시,경상북도 상주시 문장로1725 (화북면) ,Y
중화농협주유소,경상북도,상주시,경상북도 상주시 화령로80 (화서면) ,Y
증평농협사리주유소,충청북도,괴산군,충청북도 괴산군 모래재로323 (사리면) ,Y
지곡농협주유소,경상남도,함양군,경상남도 함양군 지곡창촌길14 (지곡면) ,Y
지곡주유소,충청남도,서산시,충청남도 서산시 충의로1309 (지곡면) ,Y
지리산 마천농협 클린주유소,경상남도,함양군,경상남도 함양군 천왕봉로1178 (마천면) ,Y
지리산(광주방향)주유소,전북특별자치도,남원시,전북특별자치도 남원시 광주대구고속도로75-1 (아영면) ,Y
지리산(대구방향)주유소,전북특별자치도,남원시,전북특별자치도 남원시 광주대구고속도로76-1 (아영면) ,Y
지리산농협 아영지점 주유소,전북특별자치도,남원시,전북특별자치도 남원시 아백로371-1 (아영면) ,Y
지리산농협주유소,전북특별자치도,남원시,전북특별자치도 남원시 천왕봉로45 (인월면) ,Y
지리산새마을금고주유소,경상남도,함양군,경상남도 함양군 고운로104 (함양읍) ,Y
지리산춘향주유소,전북특별자치도,남원시,전북특별자치도 남원시 원천로404 (주천면) ,Y
지보농협주유소,경상북도,예천군,경상북도 예천군 지보로199 (지보면) ,Y
지에스칼텍스(주) GS사이언스주유소,대전광역시,유성구,대전광역시 유성구 대덕대로539 (가정동) ,Y
지에스칼텍스(주) GS아산스타주유소,충청남도,아산시,충청남도 아산시 온천대로1282 (방축동) ,Y
지에스칼텍스(주) 강릉교동택지주유소,강원특별자치도,강릉시,강원특별자치도 강릉시 하슬라로233 (교동) ,Y
지에스칼텍스(주) 개봉동주유소,서울특별시,구로구,서울특별시 구로구 경인로290 (개봉동) ,Y
지에스칼텍스(주) 경향주유소,경기도,수원시,경기도 수원시 권선구 매송고색로827 (평동) ,Y
지에스칼텍스(주) 계산신도시주유소,인천광역시,계양구,인천광역시 계양구 봉오대로942 (서운동) ,Y
지에스칼텍스(주) 고덕국제도시주유소,경기도,평택시,경기도 평택시 고덕국제2로54 (고덕동) ,Y
지에스칼텍스(주) 구래주유소,경기도,김포시, 경기도 김포시 김포한강10로 213,Y
지에스칼텍스(주) 구봉산셀프주유소,대전광역시,서구,대전광역시 서구 구봉로208 (관저동) ,Y
지에스칼텍스(주) 꿈주유소,경기도,안양시,경기도 안양시 동안구 귀인로285 (평촌동) ,Y
지에스칼텍스(주) 난곡주유소,서울특별시,관악구,서울특별시 관악구 난곡로206 (신림동) ,Y
지에스칼텍스(주) 남악신도시주유소,전라남도,목포시,전라남도 목포시 남악로51 (옥암동) ,Y
지에스칼텍스(주) 남악주유소,전라남도,목포시,전라남도 목포시 남악로58번길2 (옥암동) ,Y
지에스칼텍스(주) 논현신도시주유소,인천광역시,남동구,인천광역시 남동구 청능대로469 (고잔동) ,Y
지에스칼텍스(주) 논현제일셀프주유소,인천광역시,남동구,인천광역시 남동구 청능대로460 (고잔동) ,Y
지에스칼텍스(주) 다운타운주유소,울산광역시,남구,울산광역시 남구 화합로61 (야음동) ,Y
지에스칼텍스(주) 대송IC주유소,경상북도,포항시,경상북도 포항시 남구 장흥로14 (대송면) ,Y
지에스칼텍스(주) 동탄2산단주유소,경기도,화성시,경기도 화성시 동탄기흥로161 (방교동) ,Y
지에스칼텍스(주) 동탄신도시주유소,경기도,화성시,경기도 화성시 효행로1293 (반월동) ,Y
지에스칼텍스(주) 동탄푸른숲주유소,경기도,화성시,경기도 화성시 여울로114 (능동) ,Y
지에스칼텍스(주) 만호주유소,경기도,평택시,경기도 평택시 서동대로771 (포승읍) ,Y
지에스칼텍스(주) 무룡산주유소,울산광역시,북구,울산광역시 북구 무룡1로105 (연암동) ,Y
지에스칼텍스(주) 백운밸리 주유소,경기도,의왕시,경기도 의왕시 백운로370 (학의동) ,Y
지에스칼텍스(주) 부흥로주유소,인천광역시,부평구,인천광역시 부평구 장제로200 (부평동) ,Y
지에스칼텍스(주) 북유성IC주유소,대전광역시,유성구,대전광역시 유성구 북유성대로408 (외삼동) ,Y
지에스칼텍스(주) 삼융만남의주유소,충청남도,천안시,충청남도 천안시 서북구 군삼길105 (직산읍) ,Y
지에스칼텍스(주) 선천주유소,서울특별시,서초구,서울특별시 서초구 동작대로206 (방배동) ,Y
지에스칼텍스(주) 세교주유소,경기도,평택시,경기도 평택시 동삭로224 (세교동) ,Y
지에스칼텍스(주) 소사벌주유소,경기도,평택시, 경기도 평택시 소사5길 114,Y
지에스칼텍스(주) 송도국제도시주유소,인천광역시,연수구,인천광역시 연수구 하모니로128 (송도동) ,Y
지에스칼텍스(주) 수색뉴타운 주유소,서울특별시,은평구,서울특별시 은평구 수색로350 (수색동) ,Y
지에스칼텍스(주) 시화공단주유소,경기도,시흥시,경기도 시흥시 공단1대로256 (정왕동) ,Y
지에스칼텍스(주) 시화신도시주유소,경기도,시흥시,경기도 시흥시 마유로316 (정왕동) ,Y
지에스칼텍스(주) 신길주유소,서울특별시,영등포구,서울특별시 영등포구 신길로74 (신길동) ,Y
지에스칼텍스(주) 안산스타주유소,경기도,안산시,경기도 안산시 단원구 달미로72 (선부동) ,Y
지에스칼텍스(주) 양주센트럴파크주유소,경기도,양주시,경기도 양주시 옥정로74 (옥정동) ,Y
지에스칼텍스(주) 양주신도시주유소,경기도,양주시,경기도 양주시 부흥로2305 (삼숭동) ,Y
지에스칼텍스(주) 언덕주유소,부산광역시,수영구,부산광역시 수영구 연수로239 (망미동) ,Y
지에스칼텍스(주) 여월신도시주유소,경기도,부천시,경기도 부천시 여월로112 (작동) ,Y
지에스칼텍스(주) 영통주유소,경기도,수원시,경기도 수원시 영통구 청명로107 (영통동) ,Y
지에스칼텍스(주) 오산태양주유소,경기도,오산시,경기도 오산시 동부대로574 (부산동) ,Y
지에스칼텍스(주) 옥길주유소,경기도,부천시,경기도 부천시 옥길로6 (옥길동) ,Y
지에스칼텍스(주) 우현주유소,경상북도,포항시,경상북도 포항시 북구 새천년대로918 (우현동) ,Y
지에스칼텍스(주) 울산혁신도시주유소,울산광역시,중구,울산광역시 중구 종가로406-36 (성안동) ,Y
